ID,4
Сайт,https://egisz.orb.ru/
Заголовок,Отображено сообщение об ошибке «HTTP Status 404» на странице при нажатии кнопки «Сайт МО»
Предусловия,"Открыта страница выбора филиалов медорганизации
ГАУЗ “ГКБ им. Н.И. Пирогова” г.Оренбурга"
"Шаги
воспроизведения","Нажать кнопку ""Сайт МО"""
Ожидаемый результат,Открывается сайт ГАУЗ “ГКБ им. Н.И. Пирогова” г.Оренбурга
Фактический результат,"Открывается страница с текстом:
""HTTP Status 404 -
type Status report

message

description The requested resource is not available."""
Окружение,"Windows 10, Google Chrome Версия 102.0.5005.63, (64 бит)"
Приоритет,Низкий
Важность,Тривиальная 
